,reg_1,reg_2
29075,Sta. Rita Hills,Central Coast
29076,Walla Walla Valley (OR),Oregon Other
29077,Dundee Hills,Willamette Valley
29078,Fort Ross-Seaview,Sonoma
29079,Walla Walla Valley (OR),Oregon Other
29080,Walla Walla Valley (OR),Oregon Other
29081,Alexander Valley,Sonoma
29082,Dundee Hills,Willamette Valley
29083,Russian River Valley,Sonoma
29084,Ballard Canyon,Central Coast
29085,Napa Valley,Napa
29086,Dundee Hills,Willamette Valley
29087,Sta. Rita Hills,Central Coast
29088,Oregon,Oregon Other
29089,Santa Maria Valley,Central Coast
29090,Paso Robles,Central Coast
29091,Chehalem Mountains,Willamette Valley
29092,Marin County,North Coast
29093,Napa Valley,Napa
29094,Columbia Valley (WA),Columbia Valley
29095,Monterey,Central Coast
29096,Walla Walla Valley (WA),Columbia Valley
29097,Alexander Valley,Sonoma
29098,Paso Robles,Central Coast
29099,Monterey County,Central Coast
29100,Russian River Valley,Sonoma
29101,Napa Valley,Napa
29102,Sta. Rita Hills,Central Coast
29103,Napa Valley,Napa
29104,Russian River Valley,Sonoma
29105,Dry Creek Valley,Sonoma
29106,Sonoma County,Sonoma
29107,California,California Other
29108,Paso Robles,Central Coast
29109,Happy Canyon of Santa Barbara,Central Coast
29110,Columbia Valley (WA),Columbia Valley
29111,Columbia Valley (WA),Columbia Valley
29112,Livermore Valley,Central Coast
29113,Napa Valley,Napa
29114,Russian River Valley,Sonoma
29115,Paso Robles,Central Coast
29116,Santa Ynez Valley,Central Coast
29117,Rockpile,Sonoma
29118,Columbia Valley (WA),Columbia Valley
29119,Napa Valley,Napa
29120,Columbia Valley (WA),Columbia Valley
29121,Livermore Valley,Central Coast
29122,Paso Robles,Central Coast
29123,Yakima Valley,Columbia Valley
29124,Dry Creek Valley,Sonoma
29125,Columbia Valley (WA),Columbia Valley
29126,Santa Ynez Valley,Central Coast
29127,Columbia Valley (WA),Columbia Valley
29128,Washington,Washington Other
29129,Columbia Valley (WA),Columbia Valley
29130,Lodi,Central Valley
29131,Sta. Rita Hills,Central Coast
29132,Columbia Valley (WA),Columbia Valley
29133,Columbia Valley (WA),Columbia Valley
29134,Washington,Washington Other
29135,St. Helena,Napa
29136,Carneros,Napa-Sonoma
29137,Dundee Hills,Willamette Valley
29138,Russian River Valley,Sonoma
29139,Santa Cruz Mountains,Central Coast
29140,Santa Lucia Highlands,Central Coast
29141,Santa Maria Valley,Central Coast
29142,Napa Valley,Napa
29143,Russian River Valley,Sonoma
29144,Spring Mountain District,Napa
29145,California,California Other
29146,California,California Other
29147,North Fork of Long Island,Long Island
29148,Alexander Valley,Sonoma
29149,Santa Cruz Mountains,Central Coast
29150,New York,New York Other
29151,California,California Other
29152,Carneros,Napa-Sonoma
29153,Paso Robles,Central Coast
29154,Russian River Valley,Sonoma
29155,Columbia Valley (WA),Columbia Valley
29156,Sonoma County,Sonoma
29157,California,California Other
29158,Sonoma County,Sonoma
29159,Napa Valley,Napa
29160,Paso Robles,Central Coast
29161,Sonoma Valley,Sonoma
29162,Columbia Valley (WA),Columbia Valley
29163,Sonoma County,Sonoma
29164,Columbia Valley (WA),Columbia Valley
29165,Sonoma Valley,Sonoma
29166,Dundee Hills,Willamette Valley
29167,Dunnigan Hills,Central Valley
29168,Columbia Valley (WA),Columbia Valley
29169,Lodi,Central Valley
29170,Rutherford,Napa
29171,New York,New York Other
29172,Red Mountain,Columbia Valley
29173,Columbia Valley (WA),Columbia Valley
29174,Paso Robles,Central Coast
29175,Paso Robles,Central Coast
29176,California,California Other
29177,Napa Valley,Napa
29178,Oakville,Napa
29179,Russian River Valley,Sonoma
29180,Napa Valley,Napa
29181,Russian River Valley,Sonoma
29182,Paso Robles,Central Coast
29183,Santa Barbara County,Central Coast
29184,California,California Other
29185,Umpqua Valley,Southern Oregon
29186,Lodi,Central Valley
29187,Lodi,Central Valley
29188,Amador County,Sierra Foothills
29189,Paso Robles,Central Coast
29190,Amador County,Sierra Foothills
29191,Knights Valley,Sonoma
29192,Paso Robles,Central Coast
29193,McMinnville,Willamette Valley
29194,Napa Valley,Napa
29195,Lodi,Central Valley
29196,Spring Mountain District,Napa
29197,Napa Valley,Napa
29198,California,California Other
29199,Paso Robles,Central Coast
29200,Columbia Valley (WA),Columbia Valley
29201,Oakville,Napa
29202,California,California Other
29203,Alexander Valley,Sonoma
29204,California,California Other
29205,California,California Other
29206,Seneca Lake,Finger Lakes
29207,Napa Valley,Napa
29208,Columbia Valley (WA),Columbia Valley
29209,California,California Other
29210,Horse Heaven Hills,Columbia Valley
29211,Columbia Valley (WA),Columbia Valley
29212,Oak Knoll District,Napa
29213,Walla Walla Valley (WA),Columbia Valley
29214,St. Helena,Napa
29215,Napa Valley,Napa
29216,Lake Chelan,Columbia Valley
29217,Columbia Valley (WA),Columbia Valley
29218,Columbia Valley (WA),Columbia Valley
29219,Columbia Valley (WA),Columbia Valley
29220,Wahluke Slope,Columbia Valley
29221,Sonoma Coast,Sonoma
29222,Sonoma Coast,Sonoma
29223,Sonoma Mountain,Sonoma
29224,Columbia Valley (WA),Columbia Valley
29225,Napa Valley,Napa
29226,Carneros,Napa-Sonoma
29227,Santa Barbara County,Central Coast
29228,Russian River Valley,Sonoma
29229,Wahluke Slope,Columbia Valley
29230,Washington,Washington Other
29231,Sonoma County,Sonoma
29232,Amador County,Sierra Foothills
29233,Napa Valley,Napa
29234,Columbia Valley (WA),Columbia Valley
29235,Paso Robles,Central Coast
29236,Yakima Valley,Columbia Valley
29237,Yakima Valley,Columbia Valley
29238,Columbia Valley (WA),Columbia Valley
29239,Cucamonga Valley,South Coast
29240,Napa Valley,Napa
29241,Columbia Valley (WA),Columbia Valley
29242,Edna Valley,Central Coast
29243,Napa Valley,Napa
29244,Howell Mountain,Napa
29245,Rutherford,Napa
29246,Carneros,Napa-Sonoma
29247,Santa Cruz Mountains,Central Coast
29248,Sta. Rita Hills,Central Coast
29249,Rutherford,Napa
29250,Red Mountain,Columbia Valley
29251,Carneros,Napa-Sonoma
29252,Russian River Valley,Sonoma
29253,Edna Valley,Central Coast
29254,Adelaida District,Central Coast
29255,Russian River Valley,Sonoma
29256,Sonoma Coast,Sonoma
29257,Sonoma Coast,Sonoma
29258,Napa Valley,Napa
29259,Santa Maria Valley,Central Coast
29260,St. Helena,Napa
29261,Napa Valley,Napa
29262,Rutherford,Napa
29263,St. Helena,Napa
29264,Eola-Amity Hills,Willamette Valley
29265,Napa Valley,Napa
29266,Eola-Amity Hills,Willamette Valley
29267,Carneros,Napa-Sonoma
29268,Napa Valley,Napa
29269,Paso Robles,Central Coast
29270,Oak Knoll District,Napa
29271,Napa Valley,Napa
29272,Paso Robles,Central Coast
29273,Paso Robles,Central Coast
29274,Dry Creek Valley,Sonoma
29275,Dry Creek Valley,Sonoma
29276,Sonoma County,Sonoma
29277,Santa Barbara County,Central Coast
29278,Santa Ynez Valley,Central Coast
29279,Napa Valley,Napa
29280,Paso Robles,Central Coast
29281,Red Mountain,Columbia Valley
29282,Red Mountain,Columbia Valley
29283,California,California Other
29284,Napa Valley,Napa
29285,Russian River Valley,Sonoma
29286,San Antonio Valley,Central Coast
29287,Santa Lucia Highlands,Central Coast
29288,Napa Valley,Napa
29289,Ballard Canyon,Central Coast
29290,Santa Barbara County,Central Coast
29291,Napa Valley,Napa
29292,Russian River Valley,Sonoma
29293,Santa Ynez Valley,Central Coast
29294,Sta. Rita Hills,Central Coast
29295,Bennett Valley,Sonoma
29296,Bennett Valley,Sonoma
29297,Sonoma Coast,Sonoma
29298,Happy Canyon of Santa Barbara,Central Coast
29299,Russian River Valley,Sonoma
29300,Walla Walla Valley (WA),Columbia Valley
29301,Columbia Valley (WA),Columbia Valley
29302,Los Carneros,Napa-Sonoma
29303,Columbia Valley (WA),Columbia Valley
29304,Columbia Valley (WA),Columbia Valley
29305,Red Mountain,Columbia Valley
29306,Carneros,Napa-Sonoma
29307,Rutherford,Napa
29308,Napa Valley,Napa
29309,Columbia Valley (WA),Columbia Valley
29310,Sonoma Valley,Sonoma
29311,Napa Valley,Napa
29312,North Fork of Long Island,Long Island
29313,North Fork of Long Island,Long Island
29314,Columbia Valley (WA),Columbia Valley
29315,Napa Valley,Napa
29316,Paso Robles,Central Coast
29317,North Fork of Long Island,Long Island
29318,Russian River Valley,Sonoma
29319,Russian River Valley,Sonoma
29320,Russian River Valley,Sonoma
29321,Russian River Valley,Sonoma
29322,Oak Knoll District,Napa
29323,Walla Walla Valley (OR),Oregon Other
29324,Walla Walla Valley (OR),Oregon Other
29325,Napa Valley,Napa
29326,Atlas Peak,Napa
29327,Arroyo Grande Valley,Central Coast
29328,Walla Walla Valley (OR),Oregon Other
29329,Santa Lucia Highlands,Central Coast
29330,Walla Walla Valley (OR),Oregon Other
29331,Napa Valley,Napa
29332,Napa Valley,Napa
29333,Livermore Valley,Central Coast
29334,Napa Valley,Napa
29335,California,California Other
29336,Santa Maria Valley,Central Coast
29337,Walla Walla Valley (WA),Columbia Valley
29338,Columbia Valley (WA),Columbia Valley
29339,Santa Ynez Valley,Central Coast
29340,Santa Ynez Valley,Central Coast
29341,Red Mountain,Columbia Valley
29342,Walla Walla Valley (WA),Columbia Valley
29343,Russian River Valley,Sonoma
29344,Columbia Valley (WA),Columbia Valley
29345,Russian River Valley,Sonoma
29346,Sonoma Coast,Sonoma
29347,Russian River Valley,Sonoma
29348,Sonoma Coast,Sonoma
29349,Russian River Valley,Sonoma
29350,Russian River Valley,Sonoma
29351,California,California Other
29352,Santa Cruz Mountains,Central Coast
29353,Russian River Valley,Sonoma
29354,Paso Robles,Central Coast
29355,Dry Creek Valley,Sonoma
29356,El Dorado,Sierra Foothills
29357,Calaveras County,Sierra Foothills
29358,Eola-Amity Hills,Willamette Valley
29359,Arroyo Seco,Central Coast
29360,Sonoma Coast,Sonoma
29361,Sonoma Valley,Sonoma
29362,Walla Walla Valley (WA),Columbia Valley
29363,Dry Creek Valley,Sonoma
29364,Columbia Valley (WA),Columbia Valley
29365,Yakima Valley,Columbia Valley
29366,Sonoma County,Sonoma
29367,Washington,Washington Other
29368,Santa Cruz Mountains,Central Coast
29369,Paso Robles,Central Coast
29370,Columbia Valley (WA),Columbia Valley
29371,Yakima Valley,Columbia Valley
29372,Columbia Valley (WA),Columbia Valley
29373,Sonoma County,Sonoma
29374,Santa Barbara County,Central Coast
29375,Washington,Washington Other
29376,Columbia Valley (WA),Columbia Valley
29377,Yakima Valley,Columbia Valley
29378,Santa Ynez Valley,Central Coast
29379,Russian River Valley,Sonoma
29380,Washington,Washington Other
29381,Santa Lucia Highlands,Central Coast
29382,Napa Valley,Napa
29383,York Mountain,Central Coast
29384,Napa Valley,Napa
29385,Napa Valley,Napa
29386,Alexander Valley,Sonoma
29387,Washington,Washington Other
29388,Sonoma Coast,Sonoma
29389,Diamond Mountain District,Napa
29390,Napa Valley,Napa
29391,Diamond Mountain District,Napa
29392,Sonoma County,Sonoma
29393,Fair Play,Sierra Foothills
29394,Santa Cruz Mountains,Central Coast
29395,Dry Creek Valley,Sonoma
29396,Carneros,Napa-Sonoma
29397,Sta. Rita Hills,Central Coast
29398,Fair Play,Sierra Foothills
29399,Monterey County,Central Coast
29400,Santa Lucia Highlands,Central Coast
29401,Adelaida District,Central Coast
29402,Dundee Hills,Willamette Valley
29403,Russian River Valley,Sonoma
29404,Santa Cruz Mountains,Central Coast
29405,Sta. Rita Hills,Central Coast
29406,Columbia Valley (WA),Columbia Valley
29407,Red Mountain,Columbia Valley
29408,Napa Valley,Napa
29409,Sonoma County,Sonoma
29410,Napa Valley,Napa
29411,Yakima Valley,Columbia Valley
29412,Napa Valley,Napa
29413,Napa Valley,Napa
29414,Russian River Valley,Sonoma
29415,Columbia Valley (WA),Columbia Valley
29416,Columbia Valley (WA),Columbia Valley
29417,Yakima Valley,Columbia Valley
29418,Lodi,Central Valley
29419,Yakima Valley,Columbia Valley
29420,Washington,Washington Other
29421,Sonoma Coast,Sonoma
29422,Columbia Valley (WA),Columbia Valley
29423,Russian River Valley,Sonoma
29424,Yountville,Napa
29425,Russian River Valley,Sonoma
29426,Sta. Rita Hills,Central Coast
29427,Russian River Valley,Sonoma
29428,Napa Valley,Napa
29429,Yakima Valley,Columbia Valley
29430,Horse Heaven Hills,Columbia Valley
29431,Russian River Valley,Sonoma
29432,Russian River Valley,Sonoma
29433,Yakima Valley,Columbia Valley
29434,Carneros,Napa-Sonoma
29435,Sonoma County,Sonoma
29436,Livermore Valley,Central Coast
29437,Columbia Valley (WA),Columbia Valley
29438,Napa Valley,Napa
29439,Paso Robles,Central Coast
29440,Columbia Valley (WA),Columbia Valley
29441,Sonoma County-San Joaquin County,California Other
29442,Santa Cruz Mountains,Central Coast
29443,Yakima Valley,Columbia Valley
29444,Carneros,Napa-Sonoma
29445,Napa Valley,Napa
29446,Chiles Valley,Napa
29447,Napa Valley,Napa
29448,Lodi,Central Valley
29449,Temecula Valley,South Coast
29450,Howell Mountain,Napa
29451,Napa Valley,Napa
29452,Paso Robles,Central Coast
29453,San Luis Obispo County,Central Coast
29454,Columbia Valley (WA),Columbia Valley
29455,Napa Valley,Napa
29456,Napa Valley,Napa
29457,Sta. Rita Hills,Central Coast
29458,Dundee Hills,Willamette Valley
29459,Edna Valley,Central Coast
29460,Russian River Valley,Sonoma
29461,Rutherford,Napa
29462,Santa Maria Valley,Central Coast
29463,Rutherford,Napa
29464,Napa Valley,Napa
29465,Chehalem Mountains,Willamette Valley
29466,Alexander Valley,Sonoma
29467,Umpqua Valley,Southern Oregon
29468,Sonoma Coast,Sonoma
29469,Amador County,Sierra Foothills
29470,Oak Knoll District,Napa
29471,Napa Valley,Napa
29472,Livermore Valley,Central Coast
29473,Livermore Valley,Central Coast
29474,Edna Valley,Central Coast
29475,Happy Canyon of Santa Barbara,Central Coast
29476,Walla Walla Valley (WA),Columbia Valley
29477,Santa Ynez Valley,Central Coast
29478,Alexander Valley,Sonoma
29479,Russian River Valley,Sonoma
29480,Carneros,Napa-Sonoma
29481,Humboldt County,North Coast
29482,Russian River Valley,Sonoma
29483,Howell Mountain,Napa
29484,Russian River Valley,Sonoma
29485,Rutherford,Napa
29486,Eola-Amity Hills,Willamette Valley
29487,Russian River Valley,Sonoma
29488,Russian River Valley,Sonoma
29489,Paso Robles,Central Coast
29490,Rogue Valley,Southern Oregon
29491,Santa Barbara County,Central Coast
29492,Placer County,Sierra Foothills
29493,Santa Barbara County,Central Coast
29494,Dundee Hills,Willamette Valley
29495,Lodi,Central Valley
29496,Russian River Valley,Sonoma
29497,Carneros,Napa-Sonoma
29498,Paso Robles,Central Coast
29499,Monterey County,Central Coast
29500,Alexander Valley,Sonoma
29501,Sonoma Coast,Sonoma
29502,Ancient Lakes,Columbia Valley
29503,Oakville,Napa
29504,Rogue Valley,Southern Oregon
29505,Sta. Rita Hills,Central Coast
29506,Horse Heaven Hills,Columbia Valley
29507,Columbia Valley (WA),Columbia Valley
29508,Santa Ynez Valley,Central Coast
29509,Columbia Valley (WA),Columbia Valley
29510,Red Mountain,Columbia Valley
29511,Red Mountain,Columbia Valley
29512,Santa Lucia Highlands,Central Coast
29513,Red Mountain,Columbia Valley
29514,Columbia Valley (WA),Columbia Valley
29515,Walla Walla Valley (WA),Columbia Valley
29516,Oakville,Napa
29517,Santa Maria Valley,Central Coast
29518,Santa Maria Valley,Central Coast
29519,Napa Valley,Napa
29520,Columbia Valley (WA),Columbia Valley
29521,Temecula Valley,South Coast
29522,North Fork of Long Island,Long Island
29523,Russian River Valley,Sonoma
29524,North Fork of Long Island,Long Island
29525,North Fork of Long Island,Long Island
29526,Russian River Valley,Sonoma
29527,Napa Valley,Napa
29528,North Fork of Long Island,Long Island
29529,Monterey,Central Coast
29530,Adelaida District,Central Coast
29531,Howell Mountain,Napa
29532,Sonoma County,Sonoma
29533,Russian River Valley,Sonoma
29534,Columbia Valley (WA),Columbia Valley
29535,Red Mountain,Columbia Valley
29536,Red Mountain,Columbia Valley
29537,Napa Valley,Napa
29538,Columbia Valley (WA),Columbia Valley
29539,Walla Walla Valley (WA),Columbia Valley
29540,Horse Heaven Hills,Columbia Valley
29541,Howell Mountain,Napa
29542,Howell Mountain,Napa
29543,Columbia Valley (WA),Columbia Valley
29544,Paso Robles,Central Coast
29545,Columbia Valley (WA),Columbia Valley
29546,Columbia Valley (WA),Columbia Valley
29547,Napa Valley,Napa
29548,California,California Other
29549,Arroyo Seco,Central Coast
29550,New York,New York Other
29551,Columbia Valley (WA),Columbia Valley
29552,Rutherford,Napa
29553,Columbia Valley (WA),Columbia Valley
29554,Walla Walla Valley (WA),Columbia Valley
29555,Napa Valley,Napa
29556,Napa Valley,Napa
29557,Columbia Valley (WA),Columbia Valley
29558,California,California Other
29559,Wahluke Slope,Columbia Valley
29560,Sonoma Coast,Sonoma
29561,Napa Valley,Napa
29562,Napa Valley,Napa
29563,Columbia Gorge (WA),Washington Other
29564,Columbia Valley (WA),Columbia Valley
29565,Oak Knoll District,Napa
29566,California,California Other
29567,Santa Barbara County,Central Coast
29568,California,California Other
29569,California,California Other
29570,Yakima Valley,Columbia Valley
29571,Sonoma Coast,Sonoma
29572,Horse Heaven Hills,Columbia Valley
29573,Russian River Valley,Sonoma
29574,Wahluke Slope,Columbia Valley
29575,Alta Mesa,Central Valley
29576,Santa Lucia Highlands,Central Coast
29577,Lodi,Central Valley
29578,Carneros,Napa-Sonoma
29579,Columbia Valley (WA),Columbia Valley
29580,Rogue Valley,Southern Oregon
29581,Russian River Valley,Sonoma
29582,Napa Valley,Napa
29583,Calaveras County,Sierra Foothills
29584,Amador County,Sierra Foothills
29585,Alexander Valley,Sonoma
29586,Napa Valley,Napa
29587,Walla Walla Valley (OR),Oregon Other
29588,Mount Veeder,Napa
29589,Sonoma Coast,Sonoma
29590,California,California Other
29591,Edna Valley,Central Coast
29592,Paso Robles,Central Coast
29593,Oregon,Oregon Other
29594,Russian River Valley,Sonoma
29595,Sonoma County,Sonoma
29596,Oregon,Oregon Other
29597,Yamhill County,Willamette Valley
29598,Polk County,Oregon Other
29599,California,California Other
29600,Sonoma County,Sonoma
29601,Green Valley,Sonoma
29602,Oregon,Oregon Other
29603,Napa Valley,Napa
29604,Napa Valley,Napa
29605,Sonoma County,Sonoma
29606,Oregon,Oregon Other
29607,Napa County,Napa
29608,Columbia Valley (WA),Columbia Valley
29609,Mount Veeder,Napa
29610,Sta. Rita Hills,Central Coast
29611,Wahluke Slope,Columbia Valley
29612,Los Carneros,Napa-Sonoma
29613,Columbia Valley (WA),Columbia Valley
29614,Napa Valley,Napa
29615,Columbia Valley (WA),Columbia Valley
29616,Paso Robles,Central Coast
29617,Napa Valley,Napa
29618,Walla Walla Valley (WA),Columbia Valley
29619,Columbia Valley (WA),Columbia Valley
29620,North Fork of Long Island,Long Island
29621,Napa Valley,Napa
29622,Walla Walla Valley (WA),Columbia Valley
29623,Napa Valley,Napa
29624,Paso Robles,Central Coast
29625,Paso Robles,Central Coast
29626,Paso Robles,Central Coast
29627,Paso Robles,Central Coast
29628,Paso Robles,Central Coast
29629,Bennett Valley,Sonoma
29630,Rogue Valley,Southern Oregon
29631,Carneros,Napa-Sonoma
29632,Amador County,Sierra Foothills
29633,Sta. Rita Hills,Central Coast
29634,Sonoma Mountain,Sonoma
29635,Napa Valley,Napa
29636,Santa Lucia Highlands,Central Coast
29637,Shenandoah Valley (CA),Sierra Foothills
29638,Napa Valley,Napa
29639,Oak Knoll District,Napa
29640,Saddle Rock-Malibu,South Coast
29641,Russian River Valley,Sonoma
29642,Carneros,Napa-Sonoma
29643,Santa Barbara County,Central Coast
29644,Santa Ynez Valley,Central Coast
29645,North Fork of Long Island,Long Island
29646,Paso Robles Willow Creek District,Central Coast
29647,Seneca Lake,Finger Lakes
29648,Rockpile,Sonoma
29649,St. Helena,Napa
29650,Sta. Rita Hills,Central Coast
29651,Santa Lucia Highlands,Central Coast
29652,Lake Chelan,Columbia Valley
29653,Paso Robles,Central Coast
29654,Columbia Valley (WA),Columbia Valley
29655,Sonoma Valley,Sonoma
29656,California,California Other
29657,Horse Heaven Hills,Columbia Valley
29658,Columbia Valley (WA),Columbia Valley
29659,Napa Valley,Napa
29660,Dry Creek Valley,Sonoma
29661,Napa Valley,Napa
29662,Russian River Valley,Sonoma
29663,Paso Robles,Central Coast
29664,Suisun Valley,North Coast
29665,El Dorado,Sierra Foothills
29666,Napa Valley,Napa
29667,Diamond Mountain District,Napa
29668,Stags Leap District,Napa
29669,Alexander Valley,Sonoma
29670,Hudson River Region,New York Other
29671,Hudson River Region,New York Other
29672,New York,New York Other
29673,Sonoma Valley,Sonoma
29674,California,California Other
29675,California,California Other
29676,Lodi,Central Valley
29677,Carneros,Napa-Sonoma
29678,California,California Other
29679,Russian River Valley,Sonoma
29680,Russian River Valley,Sonoma
29681,Sonoma County,Sonoma
29682,Russian River Valley,Sonoma
29683,California,California Other
29684,California,California Other
29685,California,California Other
29686,California,California Other
29687,Sonoma County,Sonoma
29688,Santa Lucia Highlands,Central Coast
29689,Lodi,Central Valley
29690,Lodi,Central Valley
29691,Santa Barbara County,Central Coast
29692,Dry Creek Valley,Sonoma
29693,Sonoma Coast,Sonoma
29694,Sonoma County,Sonoma
29695,Russian River Valley,Sonoma
29696,Monterey,Central Coast
29697,Santa Maria Valley,Central Coast
29698,Russian River Valley,Sonoma
29699,Columbia Valley (WA),Columbia Valley
29700,Eola-Amity Hills,Willamette Valley
29701,Chalk Hill,Sonoma
29702,Washington,Washington Other
29703,Eola-Amity Hills,Willamette Valley
29704,Washington,Washington Other
29705,Amador County,Sierra Foothills
29706,Amador County,Sierra Foothills
29707,Dundee Hills,Willamette Valley
29708,Columbia Valley (WA),Columbia Valley
29709,Yolo County,Central Valley
29710,Carneros,Napa-Sonoma
29711,Napa Valley,Napa
29712,Mount Veeder,Napa
29713,Santa Maria Valley,Central Coast
29714,Sonoma County,Sonoma
29715,Dry Creek Valley,Sonoma
29716,Columbia Valley (WA),Columbia Valley
29717,Horse Heaven Hills,Columbia Valley
29718,Alexander Valley,Sonoma
29719,Sta. Rita Hills,Central Coast
29720,Sonoma-Napa,Napa-Sonoma
29721,Santa Maria Valley,Central Coast
29722,Arroyo Grande Valley,Central Coast
29723,Chehalem Mountains,Willamette Valley
29724,Sonoma Coast,Sonoma
29725,Chehalem Mountains,Willamette Valley
29726,Sonoma Coast,Sonoma
29727,Ribbon Ridge,Willamette Valley
29728,Eola-Amity Hills,Willamette Valley
29729,Santa Lucia Highlands,Central Coast
29730,Russian River Valley,Sonoma
29731,Ribbon Ridge,Willamette Valley
29732,California,California Other
29733,Paso Robles,Central Coast
29734,Santa Barbara County,Central Coast
29735,Paso Robles,Central Coast
29736,Umpqua Valley,Southern Oregon
29737,Chehalem Mountains,Willamette Valley
29738,Napa Valley,Napa
29739,Sonoma County,Sonoma
29740,Sta. Rita Hills,Central Coast
29741,Columbia Valley (WA),Columbia Valley
29742,Columbia Valley (WA),Columbia Valley
29743,Sonoma Coast,Sonoma
29744,Russian River Valley,Sonoma
29745,Carneros,Napa-Sonoma
29746,Paso Robles,Central Coast
29747,Columbia Valley (WA),Columbia Valley
29748,Santa Barbara County,Central Coast
29749,Paso Robles,Central Coast
29750,San Luis Obispo County,Central Coast
29751,California,California Other
29752,Yakima Valley,Columbia Valley
29753,Yakima Valley,Columbia Valley
29754,Napa Valley,Napa
29755,Yakima Valley,Columbia Valley
29756,Oregon,Oregon Other
29757,Applegate Valley,Southern Oregon
29758,Rogue Valley,Southern Oregon
29759,Applegate Valley,Southern Oregon
29760,Applegate Valley,Southern Oregon
29761,Rogue Valley,Southern Oregon
29762,Applegate Valley,Southern Oregon
29763,Napa Valley,Napa
29764,Umpqua Valley,Southern Oregon
29765,Oregon,Oregon Other
29766,Rogue Valley,Southern Oregon
29767,Oregon,Oregon Other
29768,Oregon,Oregon Other
29769,Applegate Valley,Southern Oregon
29770,Sonoma County,Sonoma
29771,Oregon,Oregon Other
29772,Horse Heaven Hills,Columbia Valley
29773,Hudson River Region,New York Other
29774,New York,New York Other
29775,Alexander Valley,Sonoma
29776,Horse Heaven Hills,Columbia Valley
29777,Columbia Valley (WA),Columbia Valley
29778,Paso Robles,Central Coast
29779,Santa Maria Valley,Central Coast
29780,California,California Other
29781,Paso Robles,Central Coast
29782,Dundee Hills,Willamette Valley
29783,Contra Costa County,Central Coast
29784,Contra Costa County,Central Coast
29785,Santa Cruz Mountains,Central Coast
29786,Dundee Hills,Willamette Valley
29787,Adelaida District,Central Coast
29788,Napa Valley,Napa
29789,McMinnville,Willamette Valley
29790,McMinnville,Willamette Valley
29791,Dry Creek Valley,Sonoma
29792,Sonoma Coast,Sonoma
29793,Eola-Amity Hills,Willamette Valley
29794,Sonoma Coast,Sonoma
29795,Dundee Hills,Willamette Valley
29796,Paso Robles,Central Coast
29797,Santa Lucia Highlands,Central Coast
29798,Santa Barbara County,Central Coast
29799,Columbia Valley (WA),Columbia Valley
29800,Walla Walla Valley (WA),Columbia Valley
29801,Columbia Valley (WA),Columbia Valley
29802,Columbia Valley (WA),Columbia Valley
29803,Yakima Valley,Columbia Valley
29804,El Dorado,Sierra Foothills
29805,Walla Walla Valley (WA),Columbia Valley
29806,Santa Ynez Valley,Central Coast
29807,Napa Valley,Napa
29808,North Fork of Long Island,Long Island
29809,Sonoma County,Sonoma
29810,Amador County,Sierra Foothills
29811,Lodi,Central Valley
29812,Lodi,Central Valley
29813,California,California Other
29814,Contra Costa County,Central Coast
29815,Lodi,Central Valley
29816,Lodi,Central Valley
29817,California,California Other
29818,Lodi,Central Valley
29819,Lodi,Central Valley
29820,Lodi,Central Valley
29821,Columbia Valley (WA),Columbia Valley
29822,Red Mountain,Columbia Valley
29823,San Luis Obispo County,Central Coast
29824,Santa Barbara County,Central Coast
29825,Santa Barbara County,Central Coast
29826,Chalk Hill,Sonoma
29827,Paso Robles Willow Creek District,Central Coast
29828,Oakville,Napa
29829,Sonoma Valley,Sonoma
29830,Edna Valley,Central Coast
29831,Sonoma Coast,Sonoma
29832,Carneros,Napa-Sonoma
29833,Atlas Peak,Napa
29834,Lodi,Central Valley
29835,St. Helena,Napa
29836,Yorkville Highlands,North Coast
29837,Amador County,Sierra Foothills
29838,Mt. Harlan,Central Coast
29839,Santa Lucia Highlands,Central Coast
29840,Santa Lucia Highlands,Central Coast
29841,Napa Valley,Napa
29842,Amador County,Sierra Foothills
29843,Ben Lomond Mountain,Central Coast
29844,Dundee Hills,Willamette Valley
29845,Adelaida District,Central Coast
29846,Columbia Valley (OR),Oregon Other
29847,Napa Valley,Napa
29848,Rogue Valley,Southern Oregon
29849,Napa Valley,Napa
29850,Paso Robles,Central Coast
29851,Russian River Valley,Sonoma
29852,Calistoga,Napa
29853,Alexander Valley,Sonoma
29854,Oakville,Napa
29855,Santa Ynez Valley,Central Coast
29856,Napa Valley,Napa
29857,Columbia Valley (OR),Oregon Other
29858,McMinnville,Willamette Valley
29859,McMinnville,Willamette Valley
29860,Livermore Valley,Central Coast
29861,California,California Other
29862,New York,New York Other
29863,Carneros,Napa-Sonoma
29864,Livermore Valley,Central Coast
29865,Rogue Valley,Southern Oregon
29866,Santa Ynez Valley,Central Coast
29867,Arroyo Seco,Central Coast
29868,Napa Valley,Napa
29869,Rogue Valley,Southern Oregon
29870,Los Carneros,Napa-Sonoma
29871,California,California Other
29872,Lodi,Central Valley
29873,Rogue Valley,Southern Oregon
29874,Sonoma Coast,Sonoma
29875,California,California Other
29876,Sonoma County,Sonoma
29877,Napa Valley,Napa
29878,Lodi,Central Valley
29879,Columbia Valley (WA),Columbia Valley
29880,Santa Barbara County,Central Coast
29881,California,California Other
29882,Sonoma County,Sonoma
29883,Columbia Valley (WA),Columbia Valley
